Image_URL,JSON_File,Actual_Weight,Day/Date,Type,Number,relative_path,image_path,pixel_area
F:\WeightPrediction\ImagesCropped\IMG_0362.jpg,,155,,evaluation,18.0,IMG_0362.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0362.jpg,20706
F:\WeightPrediction\ImagesCropped\IMG_0363.jpg,,180,,evaluation,19.0,IMG_0363.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0363.jpg,22126
F:\WeightPrediction\ImagesCropped\IMG_0364.jpg,,180,,evaluation,19.0,IMG_0364.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0364.jpg,23030
F:\WeightPrediction\ImagesCropped\IMG_0365.jpg,,180,,evaluation,20.0,IMG_0365.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0365.jpg,22711
F:\WeightPrediction\ImagesCropped\IMG_0366.jpg,,180,,evaluation,20.0,IMG_0366.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0366.jpg,22895
F:\WeightPrediction\ImagesCropped\IMG_0370.jpg,,175,,evaluation,20.0,IMG_0370.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0370.jpg,20953
F:\WeightPrediction\ImagesCropped\IMG_0396.jpg,,215,24/01/2025,evaluation,3.0,IMG_0396.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0396.jpg,24840
F:\WeightPrediction\ImagesCropped\IMG_0397.jpg,,215,24/01/2025,evaluation,3.0,IMG_0397.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0397.jpg,24923
F:\WeightPrediction\ImagesCropped\IMG_0398.jpg,,215,24/01/2025,evaluation,3.0,IMG_0398.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0398.jpg,25006
F:\WeightPrediction\ImagesCropped\IMG_0399.jpg,,215,24/01/2025,evaluation,3.0,IMG_0399.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0399.jpg,24815
F:\WeightPrediction\ImagesCropped\IMG_0420.jpg,,185,24/01/2025,evaluation,9.0,IMG_0420.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0420.jpg,21941
F:\WeightPrediction\ImagesCropped\IMG_0421.jpg,,185,24/01/2025,evaluation,9.0,IMG_0421.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0421.jpg,21936
F:\WeightPrediction\ImagesCropped\IMG_0422.jpg,,185,24/01/2025,evaluation,9.0,IMG_0422.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0422.jpg,22262
F:\WeightPrediction\ImagesCropped\IMG_0423.jpg,,185,24/01/2025,evaluation,9.0,IMG_0423.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0423.jpg,22255
F:\WeightPrediction\ImagesCropped\IMG_0424.jpg,,230,24/01/2025,evaluation,10.0,IMG_0424.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0424.jpg,25800
F:\WeightPrediction\ImagesCropped\IMG_0425.jpg,,230,24/01/2025,evaluation,10.0,IMG_0425.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0425.jpg,25571
F:\WeightPrediction\ImagesCropped\IMG_0426.jpg,,230,24/01/2025,evaluation,10.0,IMG_0426.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0426.jpg,25256
F:\WeightPrediction\ImagesCropped\IMG_0427.jpg,,230,24/01/2025,evaluation,10.0,IMG_0427.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0427.jpg,24685
F:\WeightPrediction\ImagesCropped\IMG_0456.jpg,,215,24/01/2025,evaluation,18.0,IMG_0456.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0456.jpg,25502
F:\WeightPrediction\ImagesCropped\IMG_0457.jpg,,215,24/01/2025,evaluation,18.0,IMG_0457.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0457.jpg,25633
F:\WeightPrediction\ImagesCropped\IMG_0458.jpg,,215,24/01/2025,evaluation,18.0,IMG_0458.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0458.jpg,25756
F:\WeightPrediction\ImagesCropped\IMG_0459.jpg,,215,24/01/2025,evaluation,18.0,IMG_0459.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0459.jpg,26093
F:\WeightPrediction\ImagesCropped\IMG_0460.jpg,,190,24/01/2025,evaluation,19.0,IMG_0460.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0460.jpg,22400
F:\WeightPrediction\ImagesCropped\IMG_0461.jpg,,190,24/01/2025,evaluation,19.0,IMG_0461.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0461.jpg,22044
F:\WeightPrediction\ImagesCropped\IMG_0462.jpg,,190,24/01/2025,evaluation,19.0,IMG_0462.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0462.jpg,19671
F:\WeightPrediction\ImagesCropped\IMG_0463.jpg,,190,24/01/2025,evaluation,19.0,IMG_0463.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0463.jpg,20256
F:\WeightPrediction\Images\evaluation\IMG_0521.jpg,,250,25/01/2025,evaluation,8.0,IMG_0521.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0521.jpg,26963
F:\WeightPrediction\Images\evaluation\IMG_0522.jpg,,250,25/01/2025,evaluation,8.0,IMG_0522.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0522.jpg,26246
F:\WeightPrediction\Images\evaluation\IMG_0523.jpg,,250,25/01/2025,evaluation,8.0,IMG_0523.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0523.jpg,26585
F:\WeightPrediction\Images\evaluation\IMG_0524.jpg,,250,25/01/2025,evaluation,8.0,IMG_0524.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0524.jpg,24729
F:\WeightPrediction\Images\evaluation\IMG_0533.jpg,,265,25/01/2025,evaluation,11.0,IMG_0533.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0533.jpg,27149
F:\WeightPrediction\Images\evaluation\IMG_0534.jpg,,265,25/01/2025,evaluation,11.0,IMG_0534.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0534.jpg,26761
F:\WeightPrediction\Images\evaluation\IMG_0535.jpg,,265,25/01/2025,evaluation,11.0,IMG_0535.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0535.jpg,27142
F:\WeightPrediction\Images\evaluation\IMG_0536.jpg,,265,25/01/2025,evaluation,11.0,IMG_0536.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0536.jpg,27644
F:\WeightPrediction\Images\evaluation\IMG_0561.jpg,,260,,evaluation,18.0,IMG_0561.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0561.jpg,23336
F:\WeightPrediction\Images\evaluation\IMG_0562.jpg,,260,,evaluation,18.0,IMG_0562.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0562.jpg,23282
F:\WeightPrediction\Images\evaluation\IMG_0563.jpg,,260,,evaluation,18.0,IMG_0563.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0563.jpg,23282
F:\WeightPrediction\Images\evaluation\IMG_0564.jpg,,260,,evaluation,18.0,IMG_0564.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0564.jpg,23434
F:\WeightPrediction\Images\evaluation\IMG_0565.jpg,,275,,evaluation,19.0,IMG_0565.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0565.jpg,25820
F:\WeightPrediction\Images\evaluation\IMG_0566.jpg,,275,,evaluation,19.0,IMG_0566.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0566.jpg,25745
F:\WeightPrediction\Images\evaluation\IMG_0567.jpg,,275,,evaluation,19.0,IMG_0567.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0567.jpg,27492
F:\WeightPrediction\Images\evaluation\IMG_0568.jpg,,275,,evaluation,19.0,IMG_0568.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0568.jpg,26075
F:\WeightPrediction\Images\evaluation\IMG_0759.jpg,,310,27/01/2025,evaluation,12.0,IMG_0759.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0759.jpg,31415
F:\WeightPrediction\Images\evaluation\IMG_0760.jpg,,310,27/01/2025,evaluation,12.0,IMG_0760.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0760.jpg,32048
F:\WeightPrediction\Images\evaluation\IMG_0761.jpg,,310,27/01/2025,evaluation,12.0,IMG_0761.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0761.jpg,31636
F:\WeightPrediction\Images\evaluation\IMG_0762.jpg,,310,27/01/2025,evaluation,12.0,IMG_0762.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0762.jpg,32035
F:\WeightPrediction\Images\evaluation\IMG_0772.jpg,,340,27/01/2025,evaluation,15.0,IMG_0772.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0772.jpg,29923
F:\WeightPrediction\Images\evaluation\IMG_0773.jpg,,340,27/01/2025,evaluation,15.0,IMG_0773.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0773.jpg,29487
F:\WeightPrediction\Images\evaluation\IMG_0774.jpg,,340,27/01/2025,evaluation,15.0,IMG_0774.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0774.jpg,29201
F:\WeightPrediction\Images\evaluation\IMG_0779.jpg,,335,27/01/2025,evaluation,17.0,IMG_0779.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0779.jpg,31155
F:\WeightPrediction\Images\evaluation\IMG_0780.jpg,,335,27/01/2025,evaluation,17.0,IMG_0780.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0780.jpg,28587
F:\WeightPrediction\Images\evaluation\IMG_0781.jpg,,335,27/01/2025,evaluation,17.0,IMG_0781.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0781.jpg,30764
F:\WeightPrediction\Images\evaluation\IMG_0782.jpg,,335,27/01/2025,evaluation,17.0,IMG_0782.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0782.jpg,30855
F:\WeightPrediction\Images\evaluation\IMG_0878.jpg,,410,28/01/2025,evaluation,8.0,IMG_0878.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0878.jpg,37171
F:\WeightPrediction\Images\evaluation\IMG_0879.jpg,,410,28/01/2025,evaluation,8.0,IMG_0879.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0879.jpg,34829
F:\WeightPrediction\Images\evaluation\IMG_0880.jpg,,410,28/01/2025,evaluation,8.0,IMG_0880.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0880.jpg,34357
F:\WeightPrediction\Images\evaluation\IMG_0881.jpg,,410,28/01/2025,evaluation,8.0,IMG_0881.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0881.jpg,34357
F:\WeightPrediction\Images\evaluation\IMG_0922.jpg,,395,28/01/2025,evaluation,19.0,IMG_0922.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0922.jpg,37271
F:\WeightPrediction\Images\evaluation\IMG_0923.jpg,,395,28/01/2025,evaluation,19.0,IMG_0923.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0923.jpg,37021
F:\WeightPrediction\Images\evaluation\IMG_0924.jpg,,395,28/01/2025,evaluation,19.0,IMG_0924.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0924.jpg,37055
F:\WeightPrediction\Images\evaluation\IMG_0925.jpg,,395,28/01/2025,evaluation,19.0,IMG_0925.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_0925.jpg,36364
F:\WeightPrediction\Images\evaluation\IMG_1005.jpg,,470,29/01/2025,evaluation,3.0,IMG_1005.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1005.jpg,35881
F:\WeightPrediction\Images\evaluation\IMG_1006.jpg,,470,29/01/2025,evaluation,3.0,IMG_1006.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1006.jpg,35439
F:\WeightPrediction\Images\evaluation\IMG_1007.jpg,,470,29/01/2025,evaluation,3.0,IMG_1007.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1007.jpg,35551
F:\WeightPrediction\Images\evaluation\IMG_1008.jpg,,470,29/01/2025,evaluation,3.0,IMG_1008.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1008.jpg,36169
F:\WeightPrediction\Images\evaluation\IMG_1017.jpg,,455,29/01/2025,evaluation,6.0,IMG_1017.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1017.jpg,39446
F:\WeightPrediction\Images\evaluation\IMG_1018.jpg,,455,29/01/2025,evaluation,6.0,IMG_1018.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1018.jpg,39308
F:\WeightPrediction\Images\evaluation\IMG_1019.jpg,,455,29/01/2025,evaluation,6.0,IMG_1019.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1019.jpg,39556
F:\WeightPrediction\Images\evaluation\IMG_1020.jpg,,455,29/01/2025,evaluation,6.0,IMG_1020.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1020.jpg,39976
F:\WeightPrediction\Images\evaluation\IMG_1061.jpg,,505,29/01/2025,evaluation,17.0,IMG_1061.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1061.jpg,34733
F:\WeightPrediction\Images\evaluation\IMG_1062.jpg,,505,29/01/2025,evaluation,17.0,IMG_1062.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1062.jpg,34248
F:\WeightPrediction\Images\evaluation\IMG_1063.jpg,,505,29/01/2025,evaluation,17.0,IMG_1063.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1063.jpg,34424
F:\WeightPrediction\Images\evaluation\IMG_1064.jpg,,505,29/01/2025,evaluation,17.0,IMG_1064.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1064.jpg,34756
F:\WeightPrediction\Images\evaluation\IMG_1065.jpg,,425,29/01/2025,evaluation,18.0,IMG_1065.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1065.jpg,41915
F:\WeightPrediction\Images\evaluation\IMG_1066.jpg,,425,29/01/2025,evaluation,18.0,IMG_1066.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1066.jpg,36552
F:\WeightPrediction\Images\evaluation\IMG_1067.jpg,,425,29/01/2025,evaluation,18.0,IMG_1067.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1067.jpg,37444
F:\WeightPrediction\Images\evaluation\IMG_1068.jpg,,425,29/01/2025,evaluation,18.0,IMG_1068.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1068.jpg,40134
F:\WeightPrediction\Images\evaluation\IMG_1072.jpg,,440,29/01/2025,evaluation,19.0,IMG_1072.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1072.jpg,40004
F:\WeightPrediction\Images\evaluation\IMG_1069.jpg,,440,29/01/2025,evaluation,19.0,IMG_1069.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1069.jpg,40504
F:\WeightPrediction\Images\evaluation\IMG_1070.jpg,,440,29/01/2025,evaluation,19.0,IMG_1070.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1070.jpg,40082
F:\WeightPrediction\Images\evaluation\IMG_1071.jpg,,440,29/01/2025,evaluation,19.0,IMG_1071.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1071.jpg,40820
F:\WeightPrediction\Images\evaluation\IMG_1254.jpg,,590,31/01/2025,evaluation,3.0,IMG_1254.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1254.jpg,43026
F:\WeightPrediction\Images\evaluation\IMG_1255.jpg,,590,31/01/2025,evaluation,3.0,IMG_1255.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1255.jpg,43364
F:\WeightPrediction\Images\evaluation\IMG_1256.jpg,,590,31/01/2025,evaluation,3.0,IMG_1256.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1256.jpg,43770
F:\WeightPrediction\Images\evaluation\IMG_1257.jpg,,590,31/01/2025,evaluation,3.0,IMG_1257.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1257.jpg,45565
F:\WeightPrediction\Images\evaluation\IMG_1302.jpg,,535,31/01/2025,evaluation,15.0,IMG_1302.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1302.jpg,41448
F:\WeightPrediction\Images\evaluation\IMG_1303.jpg,,535,31/01/2025,evaluation,15.0,IMG_1303.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1303.jpg,40248
F:\WeightPrediction\Images\evaluation\IMG_1304.jpg,,535,31/01/2025,evaluation,15.0,IMG_1304.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1304.jpg,41189
F:\WeightPrediction\Images\evaluation\IMG_1305.jpg,,535,31/01/2025,evaluation,15.0,IMG_1305.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1305.jpg,40658
F:\WeightPrediction\Images\evaluation\IMG_1310.jpg,,635,31/01/2025,evaluation,17.0,IMG_1310.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1310.jpg,48175
F:\WeightPrediction\Images\evaluation\IMG_1311.jpg,,635,31/01/2025,evaluation,17.0,IMG_1311.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1311.jpg,47043
F:\WeightPrediction\Images\evaluation\IMG_1312.jpg,,635,31/01/2025,evaluation,17.0,IMG_1312.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1312.jpg,47876
F:\WeightPrediction\Images\evaluation\IMG_1313.jpg,,635,31/01/2025,evaluation,17.0,IMG_1313.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1313.jpg,48298
F:\WeightPrediction\Images\evaluation\IMG_1314.jpg,,615,31/01/2025,evaluation,18.0,IMG_1314.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1314.jpg,44127
F:\WeightPrediction\Images\evaluation\IMG_1315.jpg,,615,31/01/2025,evaluation,18.0,IMG_1315.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1315.jpg,44433
F:\WeightPrediction\Images\evaluation\IMG_1316.jpg,,615,31/01/2025,evaluation,18.0,IMG_1316.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1316.jpg,44188
F:\WeightPrediction\Images\evaluation\IMG_1317.jpg,,615,31/01/2025,evaluation,18.0,IMG_1317.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1317.jpg,43836
F:\WeightPrediction\Images\evaluation\IMG_1350.jpg,,550,01/02/2025,evaluation,7.0,IMG_1350.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1350.jpg,44562
F:\WeightPrediction\Images\evaluation\IMG_1351.jpg,,550,01/02/2025,evaluation,7.0,IMG_1351.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1351.jpg,44252
F:\WeightPrediction\Images\evaluation\IMG_1352.jpg,,550,01/02/2025,evaluation,7.0,IMG_1352.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1352.jpg,42931
F:\WeightPrediction\Images\evaluation\IMG_1353.jpg,,550,01/02/2025,evaluation,7.0,IMG_1353.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1353.jpg,43119
F:\WeightPrediction\Images\evaluation\IMG_1364.jpg,,585,01/02/2025,evaluation,10.0,IMG_1364.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1364.jpg,42572
F:\WeightPrediction\Images\evaluation\IMG_1365.jpg,,585,01/02/2025,evaluation,10.0,IMG_1365.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1365.jpg,42776
F:\WeightPrediction\Images\evaluation\IMG_1362.jpg,,585,01/02/2025,evaluation,10.0,IMG_1362.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1362.jpg,42277
F:\WeightPrediction\Images\evaluation\IMG_1363.jpg,,585,01/02/2025,evaluation,10.0,IMG_1363.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1363.jpg,42982
F:\WeightPrediction\Images\evaluation\IMG_1382.jpg,,525,01/02/2025,evaluation,15.0,IMG_1382.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1382.jpg,40160
F:\WeightPrediction\Images\evaluation\IMG_1383.jpg,,525,01/02/2025,evaluation,15.0,IMG_1383.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1383.jpg,39809
F:\WeightPrediction\Images\evaluation\IMG_1384.jpg,,525,01/02/2025,evaluation,15.0,IMG_1384.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1384.jpg,40138
F:\WeightPrediction\Images\evaluation\IMG_1385.jpg,,525,01/02/2025,evaluation,15.0,IMG_1385.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1385.jpg,40392
F:\WeightPrediction\Images\evaluation\IMG_1390.jpg,,645,01/02/2025,evaluation,17.0,IMG_1390.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1390.jpg,48202
F:\WeightPrediction\Images\evaluation\IMG_1391.jpg,,645,01/02/2025,evaluation,17.0,IMG_1391.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1391.jpg,45642
F:\WeightPrediction\Images\evaluation\IMG_1392.jpg,,645,01/02/2025,evaluation,17.0,IMG_1392.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1392.jpg,44516
F:\WeightPrediction\Images\evaluation\IMG_1393.jpg,,645,01/02/2025,evaluation,17.0,IMG_1393.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1393.jpg,44933
F:\WeightPrediction\Images\evaluation\IMG_1420.jpg,,670,02/02/2025,evaluation,4.0,IMG_1420.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1420.jpg,49743
F:\WeightPrediction\Images\evaluation\IMG_1421.jpg,,670,02/02/2025,evaluation,4.0,IMG_1421.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1421.jpg,49839
F:\WeightPrediction\Images\evaluation\IMG_1418.jpg,,670,02/02/2025,evaluation,4.0,IMG_1418.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1418.jpg,50080
F:\WeightPrediction\Images\evaluation\IMG_1419.jpg,,670,02/02/2025,evaluation,4.0,IMG_1419.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1419.jpg,49662
F:\WeightPrediction\Images\evaluation\IMG_1457.jpg,,690,02/02/2025,evaluation,13.0,IMG_1457.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1457.jpg,50437
F:\WeightPrediction\Images\evaluation\IMG_1454.jpg,,690,02/02/2025,evaluation,13.0,IMG_1454.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1454.jpg,50163
F:\WeightPrediction\Images\evaluation\IMG_1455.jpg,,690,02/02/2025,evaluation,13.0,IMG_1455.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1455.jpg,50295
F:\WeightPrediction\Images\evaluation\IMG_1456.jpg,,690,02/02/2025,evaluation,13.0,IMG_1456.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1456.jpg,50190
F:\WeightPrediction\Images\evaluation\IMG_1475.jpg,,640,02/02/2025,evaluation,18.0,IMG_1475.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1475.jpg,44625
F:\WeightPrediction\Images\evaluation\IMG_1484.jpg,,725,02/02/2025,evaluation,20.0,IMG_1484.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1484.jpg,41705
F:\WeightPrediction\Images\evaluation\IMG_1485.jpg,,725,02/02/2025,evaluation,20.0,IMG_1485.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1485.jpg,41661
F:\WeightPrediction\Images\evaluation\IMG_1482.jpg,,725,02/02/2025,evaluation,20.0,IMG_1482.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1482.jpg,44312
F:\WeightPrediction\Images\evaluation\IMG_1483.jpg,,725,02/02/2025,evaluation,20.0,IMG_1483.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1483.jpg,42037
F:\WeightPrediction\Images\evaluation\IMG_1506.jpg,,740,03/02/2025,evaluation,5.0,IMG_1506.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1506.jpg,48513
F:\WeightPrediction\Images\evaluation\IMG_1507.jpg,,740,03/02/2025,evaluation,5.0,IMG_1507.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1507.jpg,48308
F:\WeightPrediction\Images\evaluation\IMG_1508.jpg,,740,03/02/2025,evaluation,5.0,IMG_1508.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1508.jpg,47851
F:\WeightPrediction\Images\evaluation\IMG_1509.jpg,,740,03/02/2025,evaluation,5.0,IMG_1509.jpg,/content/drive/MyDrive/Chicken1024/evaluation/IMG_1509.jpg,49393
